loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,lr
0.8105686902999878,0.608641505241394,0.7175962924957275,0.03203553333878517,0.7259100675582886,0.7974311709403992,0.6648052930831909,0.7551470398902893,0.03778558969497681,0.7350427508354187,0.0009164585
0.6889374256134033,0.6577358245849609,0.7795486450195312,0.0377216562628746,0.7516059875488281,0.5941340327262878,0.708572268486023,0.8298141956329346,0.044678714126348495,0.7606837749481201,0.0008398076
0.6578420996665955,0.6730188727378845,0.7883654832839966,0.04016154259443283,0.7665953040122986,0.868374228477478,0.5076969265937805,0.8002285957336426,0.030176276341080666,0.8632478713989258,0.0007695678
0.6161421537399292,0.674792468547821,0.8079777359962463,0.04213009774684906,0.802997887134552,0.8707766532897949,0.4858134686946869,0.7916330099105835,0.02892325259745121,0.8632478713989258,0.0007052026
0.6113365888595581,0.6705660223960876,0.8058149814605713,0.04058712348341942,0.7815845608711243,1.0957931280136108,0.18155750632286072,0.7432535290718079,0.020426608622074127,0.9658119678497314,0.00064622075
0.6054502725601196,0.6690565943717957,0.8030909895896912,0.04111860319972038,0.7965738773345947,0.9373767971992493,0.41654089093208313,0.7612266540527344,0.02411779575049877,0.811965823173523,0.0005921721
0.6041198968887329,0.6774716973304749,0.8011151552200317,0.041326068341732025,0.7794432640075684,0.9480654001235962,0.397524893283844,0.8082622289657593,0.026862027123570442,0.94017094373703,0.000542644
0.5791260600090027,0.6758490800857544,0.8149870038032532,0.04195331037044525,0.7965738773345947,0.754116415977478,0.5733473896980286,0.8263351321220398,0.034044016152620316,0.8461538553237915,0.00049725827
0.5698487162590027,0.6849433779716492,0.8176698088645935,0.04365446791052818,0.8072805404663086,0.5018171668052673,0.7553576827049255,0.8301050662994385,0.0491606704890728,0.7008547186851501,0.0004556685
0.5665989518165588,0.6830188632011414,0.8215259909629822,0.044446997344493866,0.8286938071250916,0.6156630516052246,0.6735587120056152,0.8374112248420715,0.042895443737506866,0.8205128312110901,0.00041755725
0.5699753165245056,0.6869811415672302,0.815813422203064,0.043822843581438065,0.8051391839981079,0.6567665338516235,0.6340175271034241,0.8336577415466309,0.03840000182390213,0.8205128312110901,0.00038263362
0.5538523197174072,0.6876981258392334,0.8231509327888489,0.04381353035569191,0.802997887134552,0.5317410826683044,0.7063084840774536,0.8444639444351196,0.046603865921497345,0.8034188151359558,0.00035063084
0.546268880367279,0.6817358732223511,0.8271951079368591,0.043543025851249695,0.8137044906616211,0.6412152051925659,0.6377905011177063,0.8252078890800476,0.03766707330942154,0.7948718070983887,0.00032130475
0.5391852259635925,0.6878113150596619,0.8313716650009155,0.045210905373096466,0.8308351039886475,0.6139018535614014,0.6533353328704834,0.8399960398674011,0.042016807943582535,0.8547008633613586,0.00029443143
0.5497213006019592,0.6876603960990906,0.8275195360183716,0.04423436149954796,0.8115631937980652,0.5895035862922668,0.670691192150116,0.8354619145393372,0.04049844294786453,0.7777777910232544,0.00026980575
0.5426681041717529,0.6943773627281189,0.8321629166603088,0.04571428522467613,0.8222697973251343,1.0109976530075073,0.30440688133239746,0.7719581723213196,0.023748939856886864,0.9572649598121643,0.00024723972
0.530842661857605,0.6814717054367065,0.8359468579292297,0.0448630154132843,0.8415417671203613,0.6073561310768127,0.654693603515625,0.8279948830604553,0.03867403417825699,0.7777777910232544,0.00022656105
0.5313894748687744,0.7098490595817566,0.8350808620452881,0.046698469668626785,0.7965738773345947,0.649424135684967,0.619529128074646,0.8249931335449219,0.035907335579395294,0.7948718070983887,0.00020761193
0.5226900577545166,0.7001886963844299,0.8406398296356201,0.0463479720056057,0.8179871439933777,0.5624529719352722,0.6871415376663208,0.8478220701217651,0.043417368084192276,0.7948718070983887,0.00019024767
