epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.608641505241394,0.7175962924957275,0.8105686902999878,0.03203553333878517,0.7259100675582886,0.6648052930831909,0.7551470398902893,0.7974311709403992,0.03778558969497681,0.7350427508354187
1,0.6577358245849609,0.7795486450195312,0.6889374256134033,0.0377216562628746,0.7516059875488281,0.708572268486023,0.8298141956329346,0.5941340327262878,0.044678714126348495,0.7606837749481201
2,0.6730188727378845,0.7883654832839966,0.6578420996665955,0.04016154259443283,0.7665953040122986,0.5076969265937805,0.8002285957336426,0.868374228477478,0.030176276341080666,0.8632478713989258
3,0.674792468547821,0.8079777359962463,0.6161421537399292,0.04213009774684906,0.802997887134552,0.4858134686946869,0.7916330099105835,0.8707766532897949,0.02892325259745121,0.8632478713989258
4,0.6705660223960876,0.8058149814605713,0.6113365888595581,0.04058712348341942,0.7815845608711243,0.18155750632286072,0.7432535290718079,1.0957931280136108,0.020426608622074127,0.9658119678497314
5,0.6690565943717957,0.8030909895896912,0.6054502725601196,0.04111860319972038,0.7965738773345947,0.41654089093208313,0.7612266540527344,0.9373767971992493,0.02411779575049877,0.811965823173523
6,0.6774716973304749,0.8011151552200317,0.6041198968887329,0.041326068341732025,0.7794432640075684,0.397524893283844,0.8082622289657593,0.9480654001235962,0.026862027123570442,0.94017094373703
7,0.6758490800857544,0.8149870038032532,0.5791260600090027,0.04195331037044525,0.7965738773345947,0.5733473896980286,0.8263351321220398,0.754116415977478,0.034044016152620316,0.8461538553237915
8,0.6849433779716492,0.8176698088645935,0.5698487162590027,0.04365446791052818,0.8072805404663086,0.7553576827049255,0.8301050662994385,0.5018171668052673,0.0491606704890728,0.7008547186851501
9,0.6830188632011414,0.8215259909629822,0.5665989518165588,0.044446997344493866,0.8286938071250916,0.6735587120056152,0.8374112248420715,0.6156630516052246,0.042895443737506866,0.8205128312110901
10,0.6869811415672302,0.815813422203064,0.5699753165245056,0.043822843581438065,0.8051391839981079,0.6340175271034241,0.8336577415466309,0.6567665338516235,0.03840000182390213,0.8205128312110901
11,0.6876981258392334,0.8231509327888489,0.5538523197174072,0.04381353035569191,0.802997887134552,0.7063084840774536,0.8444639444351196,0.5317410826683044,0.046603865921497345,0.8034188151359558
12,0.6817358732223511,0.8271951079368591,0.546268880367279,0.043543025851249695,0.8137044906616211,0.6377905011177063,0.8252078890800476,0.6412152051925659,0.03766707330942154,0.7948718070983887
13,0.6878113150596619,0.8313716650009155,0.5391852259635925,0.045210905373096466,0.8308351039886475,0.6533353328704834,0.8399960398674011,0.6139018535614014,0.042016807943582535,0.8547008633613586
14,0.6876603960990906,0.8275195360183716,0.5497213006019592,0.04423436149954796,0.8115631937980652,0.670691192150116,0.8354619145393372,0.5895035862922668,0.04049844294786453,0.7777777910232544
15,0.6943773627281189,0.8321629166603088,0.5426681041717529,0.04571428522467613,0.8222697973251343,0.30440688133239746,0.7719581723213196,1.0109976530075073,0.023748939856886864,0.9572649598121643
16,0.6814717054367065,0.8359468579292297,0.530842661857605,0.0448630154132843,0.8415417671203613,0.654693603515625,0.8279948830604553,0.6073561310768127,0.03867403417825699,0.7777777910232544
17,0.7098490595817566,0.8350808620452881,0.5313894748687744,0.046698469668626785,0.7965738773345947,0.619529128074646,0.8249931335449219,0.649424135684967,0.035907335579395294,0.7948718070983887
18,0.7001886963844299,0.8406398296356201,0.5226900577545166,0.0463479720056057,0.8179871439933777,0.6871415376663208,0.8478220701217651,0.5624529719352722,0.043417368084192276,0.7948718070983887
19,0.7089056372642517,0.8386617302894592,0.5260034203529358,0.04802295193076134,0.824411153793335,0.7201932072639465,0.8475576043128967,0.5276213884353638,0.04647519439458847,0.7606837749481201
20,0.6915094256401062,0.8397325873374939,0.5213965177536011,0.044982291758060455,0.8158458471298218,0.6764261722564697,0.841922402381897,0.5784035325050354,0.041195109486579895,0.7777777910232544
21,0.6992830038070679,0.8349003195762634,0.5257568359375,0.04588377848267555,0.8115631937980652,0.7109870314598083,0.8455077409744263,0.5285855531692505,0.0455005057156086,0.7692307829856873
22,0.6989433765411377,0.8471888899803162,0.508719801902771,0.04692966490983963,0.8329764604568481,0.7200422286987305,0.848304033279419,0.5302639603614807,0.04692387953400612,0.7692307829856873
23,0.7066037654876709,0.8430417776107788,0.5144606828689575,0.04676258936524391,0.8072805404663086,0.7031391263008118,0.8425959944725037,0.5319022536277771,0.042984191328287125,0.7435897588729858
24,0.7122641801834106,0.8505067825317383,0.5041021704673767,0.04901713877916336,0.8329764604568481,0.6343193650245667,0.8263555765151978,0.638305127620697,0.03806089609861374,0.811965823173523
25,0.717094361782074,0.8413795232772827,0.5155341029167175,0.049358975142240524,0.824411153793335,0.6697856783866882,0.8445427417755127,0.5752777457237244,0.041205137968063354,0.7948718070983887
26,0.7136603593826294,0.8521983623504639,0.49956437945365906,0.049018364399671555,0.8286938071250916,0.740114688873291,0.8469101786613464,0.4788815379142761,0.049915872514247894,0.7606837749481201
27,0.7048678994178772,0.8486776947975159,0.50246262550354,0.04739044979214668,0.824411153793335,0.742831289768219,0.8542130589485168,0.48589545488357544,0.051948051899671555,0.7863247990608215
28,0.7163773775100708,0.848207950592041,0.5034982562065125,0.04854617640376091,0.8115631937980652,0.7183821201324463,0.8437305092811584,0.5296120643615723,0.046656299382448196,0.7692307829856873
29,0.7199622392654419,0.8559812903404236,0.4906344711780548,0.04949468746781349,0.8179871439933777,0.6712949275970459,0.8399638533592224,0.5841323733329773,0.043420471251010895,0.8376068472862244
